"id,""note"",""commentaire"""
"1,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible."""
"2,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous."""
"3,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule."""
"4,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information."""
"5,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide."""
"6,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente."""
"7,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe."""
"8,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel."""
"9,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant."""
"10,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel."""
"11,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable."""
"12,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa."""
"13,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide."""
"14,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital."""
"15,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité."""
"16,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée."""
"17,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689]"""
"18,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755]"""
"19,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709]"""
"20,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281]"""
"21,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279]"""
"22,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551]"""
"23,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920]"""
"24,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949]"""
"25,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983]"""
"26,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068]"""
"27,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392]"""
"28,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755]"""
"29,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599]"""
"30,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732]"""
"31,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865]"""
